bam_id,first_name,last_name,age,height,weight,position,birth_place,image_url,created_at,updated_at
650333,Luis,Arraez,27,178,79,1B,"San Felipe, Venezuela",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39572.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
595777,Jurickson,Profar,30,183,83,3B,"Willemstad, Curacao",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31117.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
630105,Jake,Cronenworth,30,183,84,1B,"St. Clair, Michigan",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36364.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
656302,Dylan,Cease,29,188,90,SP,"Milton, Georgia",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34943.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
592518,Manny,Machado,32,190,98,3B,"Hialeah, Florida",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31097.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
456781,Donovan,Solano,36,173,95,3B,"Barranquilla, Colombia",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29703.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
701538,Jackson,Merrill,21,190,88,CF,"Severna Park, Maryland",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4872691.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
673490,Ha-Seong,Kim,29,175,76,SS,"Bucheon, South Korea",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4089862.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
543309,Kyle,Higashioka,34,185,91,C,"Huntington Beach, California",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30545.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
669369,Bryce,Johnson,28,185,88,RF,"Houston, Texas",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42056.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
663568,Stephen,Kolek,27,190,95,RP,"Shepherd, Texas",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5190073.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
656354,Austin,Davis,31,193,106,RP,"Scottsdale, Arizona",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39078.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
660853,Enyel,De Los Santos,29,190,106,RP,"San Pedro de Macoris, Dominican Republic",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35026.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
642180,Tyler,Wade,30,185,85,3B,"Murrieta, California",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33878.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
666703,Eguy,Rosario,25,170,68,3B,"La Romana, Dominican Republic",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36745.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
800049,Adam,Mazur,23,188,81,SP,"Woodbury, Minnesota",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5061202.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
444482,David,Peralta,37,185,95,RF,"Valencia, Venezuela",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33384.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
673513,Yuki,Matsui,29,173,74,RP,"Iwate, Japan",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4142414.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
670970,Adrian,Morejon,25,180,101,RP,"Havana, Cuba",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40917.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
669093,Jeremiah,Estrada,26,185,83,RP,"Palm Desert, California",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41014.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
663158,Robert,Suarez,33,188,95,RP,"Caracas, Venezuela",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4148749.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
650633,Michael,King,29,190,95,SP,"Rochester, New York",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40429.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
664954,Brett,Sullivan,30,178,88,C,"Stockton, California",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39913.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
681190,Randy,Vasquez,26,183,74,SP,"Navarrete, Dominican Republic",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4722847.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
593974,Wandy,Peralta,33,183,102,RP,"San Francisco de Macoris, Dominican Republic",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36036.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
663362,Matt,Waldron,28,188,83,SP,"Omaha, Nebraska",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4020158.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
669134,Luis,Campusano,26,180,105,C,"Augusta, Georgia",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40521.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
593428,Xander,Bogaerts,32,188,98,2B,"Oranjestad, Aruba",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31606.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
670810,Logan,Gillaspie,27,188,97,RP,"Bakersfield, California",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4905860.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
669308,Sean,Reynolds,26,203,113,RP,Miami,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41691.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
689690,Alek,Jacob,26,190,86,RP,"Spokane, Washington",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4346118.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
592094,Jason,Adam,33,190,103,RP,"Omaha, Nebraska",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32145.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
663773,Bryan,Hoeing,28,198,95,RP,"Louisville, Kentucky",https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42200.png&w=350&h=254,2025-01-07 20:50:48,2025-01-07 20:50:48
